time,open,high,low,close,tick_volume,spread,real_volume
2015-07-07 00:00:00,264.2,266.12,259.01,261.78,6724,0,0
2015-07-08 00:00:00,261.5,269.99,260.64,266.0,6812,0,0
2015-07-09 00:00:00,266.21,269.89,262.11,263.34,9052,0,0
2015-07-10 00:00:00,263.23,297.75,262.2,283.0,12813,0,0
2015-07-12 00:00:00,304.14,307.44,302.06,306.14,692,0,0
2015-07-13 00:00:00,306.16,306.16,269.0,285.63,11007,0,0
2015-07-14 00:00:00,285.75,291.96,281.0,282.06,5431,0,0
2015-07-15 00:00:00,282.2,288.02,276.03,278.0,5500,0,0
2015-07-16 00:00:00,278.0,285.8,270.0,274.33,8507,0,0
2015-07-17 00:00:00,274.33,278.25,268.08,273.0,6221,0,0
2015-07-19 00:00:00,267.88,267.91,263.2,265.16,761,0,0
2015-07-20 00:00:00,265.46,273.85,264.52,273.0,3485,0,0
2015-07-21 00:00:00,273.0,277.25,267.93,268.89,4567,0,0
2015-07-22 00:00:00,268.89,273.73,267.66,270.97,4217,0,0
2015-07-23 00:00:00,270.97,272.99,269.38,271.15,2637,0,0
2015-07-24 00:00:00,269.46,287.67,269.46,283.31,5252,0,0
2015-07-26 00:00:00,285.35,286.41,284.7,284.75,288,0,0
2015-07-27 00:00:00,285.09,287.3,279.5,284.84,4453,0,0
2015-07-28 00:00:00,284.77,288.99,283.6,286.72,3823,0,0
2015-07-29 00:00:00,286.72,287.49,281.12,282.16,4174,0,0
2015-07-30 00:00:00,282.16,284.97,280.4,281.17,3656,0,0
2015-07-31 00:00:00,281.18,283.14,275.9,279.4,4469,0,0
2015-08-02 00:00:00,278.27,278.89,277.06,277.99,322,0,0
2015-08-03 00:00:00,277.99,281.7,276.0,277.17,3295,0,0
2015-08-04 00:00:00,277.07,281.18,275.65,279.57,3268,0,0
2015-08-05 00:00:00,279.29,280.6,275.0,276.9,3071,0,0
2015-08-06 00:00:00,276.55,277.94,271.99,273.24,3507,0,0
2015-08-07 00:00:00,274.5,274.79,268.0,268.97,2918,0,0
2015-08-09 00:00:00,256.8,260.86,256.8,257.67,535,0,0
2015-08-10 00:00:00,257.82,262.36,255.65,257.3,3676,0,0
2015-08-11 00:00:00,257.47,267.89,256.22,267.86,3878,0,0
2015-08-12 00:00:00,267.86,268.29,258.5,258.6,5617,0,0
2015-08-13 00:00:00,258.6,261.43,256.47,258.06,4350,0,0
2015-08-14 00:00:00,258.03,263.99,257.0,262.0,4045,0,0
2015-08-16 00:00:00,254.0,255.54,252.94,254.42,327,0,0
2015-08-17 00:00:00,254.42,256.99,250.94,253.8,3835,0,0
2015-08-18 00:00:00,253.74,254.45,219.0,226.93,4652,0,0
2015-08-19 00:00:00,227.22,233.06,210.05,217.15,8262,0,0
2015-08-20 00:00:00,217.15,233.56,217.15,229.72,6966,0,0
2015-08-21 00:00:00,229.72,232.16,224.02,227.5,4607,0,0
2015-08-23 00:00:00,220.61,221.55,219.5,221.48,501,0,0
2015-08-24 00:00:00,221.58,223.02,199.02,200.9,9914,0,0
2015-08-25 00:00:00,201.0,221.89,191.0,218.09,13040,0,0
2015-08-26 00:00:00,218.09,226.33,216.78,221.69,9558,0,0
2015-08-27 00:00:00,221.43,224.16,216.0,218.2,6742,0,0
2015-08-28 00:00:00,218.29,229.96,215.12,227.09,6152,0,0
2015-08-30 00:00:00,223.3,223.75,222.57,223.62,453,0,0
2015-08-31 00:00:00,223.62,227.99,221.22,226.98,5062,0,0
2015-09-01 00:00:00,226.99,228.31,220.98,222.57,6637,0,0
2015-09-02 00:00:00,222.53,226.17,219.74,224.35,5893,0,0
2015-09-03 00:00:00,224.38,224.99,221.31,223.91,5027,0,0
2015-09-04 00:00:00,223.9,225.99,221.0,225.0,3241,0,0
2015-09-06 00:00:00,235.0,236.35,232.19,233.0,148,0,0
2015-09-07 00:00:00,233.0,241.5,233.0,236.65,6822,0,0
2015-09-08 00:00:00,236.65,244.76,236.1,240.96,6241,0,0
2015-09-09 00:00:00,240.52,242.37,232.01,234.99,6630,0,0
2015-09-10 00:00:00,234.92,238.0,229.26,236.0,5896,0,0
2015-09-11 00:00:00,236.0,237.95,234.55,236.29,3589,0,0
2015-09-13 00:00:00,226.26,227.9,225.11,227.61,766,0,0
2015-09-14 00:00:00,227.66,228.9,225.11,226.86,5056,0,0
2015-09-15 00:00:00,226.86,228.77,224.99,225.97,4329,0,0
2015-09-16 00:00:00,225.98,228.49,223.1,226.22,4207,0,0
2015-09-17 00:00:00,226.28,233.59,225.55,230.3,5244,0,0
2015-09-18 00:00:00,230.26,233.02,227.16,229.0,3766,0,0
2015-09-20 00:00:00,229.12,229.31,227.97,228.54,447,0,0
2015-09-21 00:00:00,228.56,228.99,223.05,223.76,5000,0,0
2015-09-22 00:00:00,223.67,229.48,223.0,227.2,5546,0,0
2015-09-23 00:00:00,227.2,229.32,225.1,227.72,5447,0,0
2015-09-24 00:00:00,227.69,233.23,227.69,231.37,4821,0,0
2015-09-25 00:00:00,231.39,235.0,229.27,231.5,4667,0,0
2015-09-27 00:00:00,230.3,231.0,229.82,230.61,730,0,0
2015-09-28 00:00:00,230.62,236.18,229.99,235.35,5722,0,0
2015-09-29 00:00:00,235.35,236.69,233.0,234.35,6815,0,0
2015-09-30 00:00:00,234.0,235.99,232.09,233.39,4819,0,0
2015-10-01 00:00:00,233.08,235.99,231.4,234.65,5579,0,0
2015-10-02 00:00:00,234.65,235.99,233.02,233.25,3509,0,0
