time,open,high,low,close,tick_volume,spread,real_volume
2026-01-02 17:00:00,1.17288,1.17521,1.17285,1.17507,5218,0,0
2026-01-02 18:00:00,1.17507,1.17545,1.17342,1.17373,3970,0,0
2026-01-02 19:00:00,1.17373,1.17378,1.17286,1.1730800000000001,2989,0,0
2026-01-02 20:00:00,1.1730800000000001,1.17314,1.17155,1.17192,2881,0,0
2026-01-02 21:00:00,1.17192,1.17243,1.17142,1.17232,2460,0,0
2026-01-02 22:00:00,1.17232,1.17237,1.1715200000000001,1.17176,1808,1,0
2026-01-02 23:00:00,1.17176,1.17232,1.17172,1.1718899999999999,1178,1,0
2026-01-05 00:00:00,1.17204,1.17212,1.17093,1.171,826,1,0
2026-01-05 01:00:00,1.17115,1.1712799999999999,1.17003,1.17053,2082,0,0
2026-01-05 02:00:00,1.17053,1.17111,1.17037,1.17051,3270,0,0
2026-01-05 03:00:00,1.17051,1.17075,1.16998,1.17004,3231,0,0
2026-01-05 04:00:00,1.17004,1.17017,1.1684,1.16886,3100,0,0
2026-01-05 05:00:00,1.16886,1.16907,1.16724,1.16754,2723,0,0
2026-01-05 06:00:00,1.16754,1.1683,1.16732,1.16819,2289,0,0
2026-01-05 07:00:00,1.16819,1.16861,1.16804,1.16855,1861,0,0
2026-01-05 08:00:00,1.16855,1.16919,1.16785,1.1691,2283,0,0
2026-01-05 09:00:00,1.1691,1.16924,1.16837,1.16865,3684,0,0
2026-01-05 10:00:00,1.16865,1.16948,1.16812,1.16835,3756,0,0
2026-01-05 11:00:00,1.16835,1.1687400000000001,1.16741,1.16824,3125,0,0
2026-01-05 12:00:00,1.16824,1.169,1.16797,1.16899,3274,0,0
2026-01-05 13:00:00,1.16899,1.16909,1.16804,1.16817,3133,0,0
2026-01-05 14:00:00,1.16817,1.16851,1.1670099999999999,1.16709,3212,0,0
2026-01-05 15:00:00,1.16709,1.16753,1.16592,1.16745,4718,0,0
2026-01-05 16:00:00,1.16745,1.16876,1.16733,1.16853,5069,0,0
2026-01-05 17:00:00,1.16853,1.17046,1.16853,1.17046,5776,0,0
2026-01-05 18:00:00,1.17046,1.1718600000000001,1.17041,1.17148,4415,0,0
2026-01-05 19:00:00,1.17148,1.17198,1.1710099999999999,1.17147,3226,0,0
2026-01-05 20:00:00,1.17147,1.17254,1.17133,1.1724999999999999,2273,0,0
2026-01-05 21:00:00,1.1724999999999999,1.17287,1.1722,1.17272,2528,0,0
2026-01-05 22:00:00,1.17272,1.17288,1.17238,1.1724700000000001,1670,1,0
2026-01-05 23:00:00,1.1724700000000001,1.17266,1.17194,1.17214,1066,1,0
2026-01-06 00:00:00,1.17179,1.17216,1.17179,1.17187,242,1,0
2026-01-06 01:00:00,1.17187,1.17217,1.1712799999999999,1.17146,1078,0,0
2026-01-06 02:00:00,1.17146,1.1717,1.17108,1.17168,2163,0,0
2026-01-06 03:00:00,1.17168,1.17253,1.17123,1.17253,2903,0,0
2026-01-06 04:00:00,1.17253,1.17378,1.17221,1.17373,2366,0,0
2026-01-06 05:00:00,1.17373,1.17382,1.17327,1.1734499999999999,2458,0,0
2026-01-06 06:00:00,1.1734499999999999,1.17357,1.17315,1.17337,1784,0,0
2026-01-06 07:00:00,1.17337,1.1737,1.17272,1.1729,2102,0,0
2026-01-06 08:00:00,1.1729,1.17372,1.17288,1.17362,2146,0,0
2026-01-06 09:00:00,1.17362,1.17429,1.17261,1.17293,2979,0,0
2026-01-06 10:00:00,1.17293,1.17391,1.17261,1.17287,3746,0,0
2026-01-06 11:00:00,1.17287,1.17291,1.17082,1.17135,3667,0,0
2026-01-06 12:00:00,1.17135,1.17172,1.17084,1.17129,2823,0,0
2026-01-06 13:00:00,1.17129,1.17132,1.17049,1.17064,2600,0,0
2026-01-06 14:00:00,1.17064,1.17123,1.16975,1.17015,2983,0,0
2026-01-06 15:00:00,1.17015,1.17136,1.16973,1.1711,4111,0,0
2026-01-06 16:00:00,1.1711,1.17176,1.16995,1.1709100000000001,4636,0,0
2026-01-06 17:00:00,1.1709100000000001,1.1709100000000001,1.16841,1.16953,5532,0,0
2026-01-06 18:00:00,1.16953,1.16982,1.16859,1.16882,3867,0,0
2026-01-06 19:00:00,1.16882,1.1701,1.16869,1.17008,2542,0,0
2026-01-06 20:00:00,1.17008,1.17021,1.16871,1.1688399999999999,2678,0,0
2026-01-06 21:00:00,1.1688399999999999,1.1691,1.16839,1.16896,2743,0,0
2026-01-06 22:00:00,1.16896,1.16931,1.16865,1.1687,1824,1,0
2026-01-06 23:00:00,1.1687,1.16887,1.16846,1.16883,1170,1,0
2026-01-07 00:00:00,1.16834,1.1688399999999999,1.16834,1.16878,645,1,0
2026-01-07 01:00:00,1.16878,1.16904,1.16869,1.16872,739,0,0
2026-01-07 02:00:00,1.16872,1.16943,1.16856,1.16917,2522,0,0
2026-01-07 03:00:00,1.16917,1.17005,1.16899,1.16957,2530,0,0
2026-01-07 04:00:00,1.16957,1.17025,1.16952,1.16961,2043,0,0
2026-01-07 05:00:00,1.16961,1.17005,1.16961,1.16988,1816,0,0
2026-01-07 06:00:00,1.16988,1.17021,1.16912,1.16914,2254,0,0
2026-01-07 07:00:00,1.16914,1.16943,1.16911,1.1693,2051,0,0
2026-01-07 08:00:00,1.1693,1.16996,1.16921,1.16978,2000,0,0
2026-01-07 09:00:00,1.16978,1.16991,1.16788,1.16827,3061,0,0
2026-01-07 10:00:00,1.16827,1.16873,1.16729,1.16859,3705,0,0
2026-01-07 11:00:00,1.16859,1.1687,1.1681300000000001,1.16846,2784,0,0
2026-01-07 12:00:00,1.16846,1.1694,1.16837,1.16886,2960,0,0
